BCB/102,"Credit operations with nonearmarked funds (postset rate), Balances, Personal credits"
BCB/103,"Credit operations with nonearmarked funds (preset rate), Acquisition of other goods-individuals, Total rate"
BCB/104,"Credit operations with nonearmarked funds (preset rate), Balances, Acquisition of other goods-individuals"
BCB/105,"Credit operations with nonearmarked funds (postset rate), Acquisition of other goods-individuals, Total rate"
BCB/106,"Credit operations with nonearmarked funds (postset rate), Balances, Acquisition of other goods-individuals"
BCB/108,National treasury bond (BTN)/Fiscal reference unit (UFIR) monthly
BCB/109,"Financial investment fund (FAF), Investments in obrigatory deposits"
BCB/110,"Financial investment fund (FAF), Investments in TDE securities deposits"
BCB/111,"Financial investment fund (FAF), Investments in repurchase agreements"
BCB/112,"Financial investment fund (FAF), Investment in quotas of social development funds"
BCB/113,"Financial investment fund (FAF), Investments in treasury securities"
BCB/115,"Financial investment fund (FAF), Investments in private securities"
BCB/116,"Financial investment fund (FAF), Investments in economical development securities"
BCB/117,"Financial investment fund (FAF), Investments in linked securities to farm projects"
BCB/118,"Financial investment fund (FAF), Investments in bill of mortgage"
BCB/119,"Commodities funds, Investments in export notes"
BCB/120,"Commodities funds, Investments in time deposits (CDB/RDB)"
BCB/121,"Commodities funds, Investments in warrants"
BCB/122,"Commodities funds, Investments in commodities certificates"
BCB/123,"Commodities funds, Investments in treasury securities"
BCB/125,"Commodities funds, Investments in private securities"
BCB/126,"Commodities funds, Investments in Financial Investment Funds (FAF) quotas"
BCB/127,"Commodities funds, Investments in commercial papers"
BCB/128,"Commodities funds, Investments in stocks"
BCB/129,"Commodities funds, Investments in gold"
BCB/130,"Fixed-income mutual fund, Investments in treasury securities"
BCB/131,"Fixed-income mutual fund, Investments in Central Bank securities"
BCB/133,"Fixed-income mutual fund, Investments in stocks"
BCB/134,"Fixed-income mutual fund, Investments in debentures"
BCB/135,"Fixed-income mutual fund, Investments in private securities"
BCB/136,"Fixed-income mutual fund, Investments in interest rate futures"
BCB/137,"Fixed-income mutual fund, Investments in fund quotas"
BCB/138,"Fixed-income mutual fund, Investments in repurchase agreements"
BCB/139,"Fixed-income mutual fund, Other investments"
BCB/140,"Traditional stock fund, Investments in treasury securities"
BCB/141,"Traditional stock fund, Investments in Central Bank securities"
BCB/143,"Traditional stock fund, Investments in stocks index"
BCB/144,"Traditional stock fund, Investments in stocks"
BCB/145,"Traditional stock fund, Investments in debentures"
BCB/146,"Traditional stock fund, Investments in private securities"
BCB/147,"Traditional stock fund, Investments in fund quotas"
BCB/148,"Traditional stock fund, Other investments"
BCB/149,"Free portfolio stock fund, Investments in treasury securities"
BCB/150,"Free portfolio stock fund, Investments in Central Bank securities"
BCB/152,"Free portfolio stock fund, Investments in stocks index"
BCB/153,"Free portfolio stock fund, Investments in stocks"
BCB/154,"Free portfolio stock fund, Investments in debentures"
BCB/155,"Free portfolio stock fund, Investments in private securities"
BCB/156,"Free portfolio stock fund, Investments in fund quotas"
BCB/157,"Free portfolio stock fund, Other investments"
BCB/158,"Foreign capital investment fund, Investments in Treasury securities"
BCB/159,"Foreign capital investment fund, Investments in Central Bank securities"
BCB/160,"Foreign capital investment fund, Investments in state and municipal securities"
BCB/161,"Foreign capital investment fund, Investments in stocks index"
BCB/163,"Foreign capital investment fund, Investments in debentures"
BCB/164,"Foreign capital investment fund, Investments in private securities"
BCB/165,"Foreign capital investment fund, Investments in fund quotas"
BCB/166,"Foreign capital investment fund, Other investments"
BCB/168,"Conversion funds, foreign capital, Investments in Central Bank securities"
BCB/169,"Conversion funds, foreign capital, Investments in state and municipal securities"
